name,label,elevation,active,display,globalid,locationname,locationmpname
TO 1 inch vent pipe,TO 1 inch vent pipe,131.61,Yes,,{A83BF473-27AB-4DD6-AD42-B6129C88251E},EAFB FLD#6 WR-56R,EAFB FLD#6 WR-56R - TO 1 inch vent pipe
TO PVC casing,TO PVC casing,255.69,Yes,,{233DDAA5-EDD8-4895-9DE6-FAC8B17B91A0},NWFWMD SR-4D,NWFWMD SR-4D - TO PVC casing
1st 2 inch galvanized pipe,1st 2 inch galvanized pipe,14.95,Yes,,{9A33FD00-B3BB-4792-BF0F-B13F0D8F7FB9},ECONFINA CREEK BELOW GAINER SPRING GROUP,ECONFINA CREEK BELOW GAINER SPRING GROUP - 1st 2 inch galvanized pipe
2nd 2 inch galvanized pipe,2nd 2 inch galvanized pipe,12.95,Yes,,{82210570-9B89-40BE-9E37-9748D0323CE4},ECONFINA CREEK BELOW GAINER SPRING GROUP,ECONFINA CREEK BELOW GAINER SPRING GROUP - 2nd 2 inch galvanized pipe
High Water Nail in Tree,High Water Nail in Tree,26.94,Yes,,{C558866E-1A02-4003-8976-9579D75FAEE5},ECONFINA CREEK BELOW GAINER SPRING GROUP,ECONFINA CREEK BELOW GAINER SPRING GROUP - High Water Nail in Tree
Staff,Staff,10.0,Yes,,{2F748332-8D1C-4D91-BC26-219BFBF5C68C},ECONFINA CREEK BELOW GAINER SPRING GROUP,ECONFINA CREEK BELOW GAINER SPRING GROUP - Staff
Top of Staff,Top of Staff,19.51,Yes,,{8ECB7B8E-921C-4D0E-81CF-6D9AC9CC71C9},ECONFINA CREEK BELOW GAINER SPRING GROUP,ECONFINA CREEK BELOW GAINER SPRING GROUP - Top of Staff
0.5 inch galv pipe,0.5 inch galv pipe,49.23,Yes,,{F8B12572-74BB-4FEA-878B-BEDB810ADD7A},Cox Pond - Washington County,Cox Pond - Washington County - 0.5 inch galv pipe
1.25 inch galv pipe,1.25 inch galv pipe,53.0,Yes,,{696CCADC-3645-4285-BF6B-F86C9F8FE29B},Cox Pond - Washington County,Cox Pond - Washington County - 1.25 inch galv pipe
Short staff,Short staff,52.86,Yes,,{71A374A7-055F-459B-B295-DA05A0420309},Cox Pond - Washington County,Cox Pond - Washington County - Short staff
Tall staff,Tall staff,54.04,Yes,,{20155F32-A736-4CFA-982D-303F87429749},Cox Pond - Washington County,Cox Pond - Washington County - Tall staff
1.5 inch galv pipe at cinder block,1.5 inch galv pipe at cinder block,46.2,Yes,1.0,{45AB609E-B853-4449-83BD-3671E33F87C2},Cox Pond - Washington County,Cox Pond - Washington County - 1.5 inch galv pipe at cinder block
1 inch steel pipe,1 inch steel pipe,8.83,Yes,,{BEB13060-4F1D-4314-9306-6E958132B0A2},AMES SINK/S555,AMES SINK/S555 - 1 inch steel pipe
1st transducer anchor pipe from junction LB,1st transducer anchor pipe from junction LB,12.62,Yes,,{047423D3-EB6A-4975-B15C-E31724019E20},AMES SINK/S555,AMES SINK/S555 - 1st transducer anchor pipe from junction LB
Metal disk 005 next to junction box,Metal disk 005 next to junction box,16.56,Yes,,{1BD87B15-BB52-470F-ADE9-125141A6344D},AMES SINK/S555,AMES SINK/S555 - Metal disk 005 next to junction box
RR Spike in Antenna pole,RR Spike in Antenna pole,24.78,Yes,,{827BD01B-A6CD-422C-BFD3-62A381BBF5EE},AMES SINK/S555,AMES SINK/S555 - RR Spike in Antenna pole
Top of 4 inch female adaptor,Top of 4 inch female adaptor,20.56,Yes,1.0,{C3F85AA2-6AAD-4AF6-8DFB-B7BA48661C8D},NWFWMD-WEST HEWETT FLORIDAN,NWFWMD-WEST HEWETT FLORIDAN - Top of 4 inch female adaptor
TO casing,TO casing,303.5,Yes,,{51106B15-317E-4E47-A2EB-11DD3E73EE6C},COMPASS LAKE TOWER,COMPASS LAKE TOWER - TO casing
TO 4 inch PVC casing,TO 4 inch PVC casing,248.34,Yes,,{BA892E1B-D047-4763-95EE-E0E2EB4A9B8C},NWFWMD-ALLEN TOWER DEEP,NWFWMD-ALLEN TOWER DEEP - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,219.1,Yes,,{21ED7FF0-E48D-4D37-A566-FD94D057171F},NWFWMD-S&G MW-5S,NWFWMD-S&G MW-5S - TO 2 inch PVC casing
MP mark at hole on edge of 6 inch PVC cap,MP mark at hole on edge of 6 inch PVC cap,8.85,Yes,1.0,{E6362D31-946C-416B-99FC-8E26D914A0D5},EAFB SAN BLAS #107,EAFB SAN BLAS #107 - MP mark at hole on edge of 6 inch PVC cap
Ch Square on bridge,Ch Square on bridge,47.55,Yes,,{8DBAFC86-0A30-47A4-AFE9-A1C1927B9A3A},LAKE LAFAYETTE OUTFALL,LAKE LAFAYETTE OUTFALL - Ch Square on bridge
Angled bracket 6ft Right of station,Angled bracket 6ft Right of station,44.02,Yes,,{236BF739-2A9D-444D-8C49-1112E0BA7868},CENTRAL D.D.@ORANGE,CENTRAL D.D.@ORANGE - Angled bracket 6ft Right of station
TO 2 inch PVC casing,TO 2 inch PVC casing,42.08,Yes,,{D01586D4-CD9D-4DF6-A98A-81FEFFD25D47},NWFWMD-BALL PARK LPZ,NWFWMD-BALL PARK LPZ - TO 2 inch PVC casing
TO 12 inch steel casing N side,TO 12 inch steel casing N side,88.82,Yes,,{FF031B89-9A8C-4684-9DFD-C13675C68AE5},WALTER PECEVICH,WALTER PECEVICH - TO 12 inch steel casing N side
TO 6 inch steel casing,TO 6 inch steel casing,13.31,Yes,,{0EBF757A-EE20-42A9-A139-A227C1E7E9F8},PURDOM #4,PURDOM #4 - TO 6 inch steel casing
TO sanitary seal,TO sanitary seal,191.74,Yes,,{02AC2496-B081-42BE-BE84-93667246A20A},EAFB METTS TOWER,EAFB METTS TOWER - TO sanitary seal
TO Stand pipe with nipple REMOVED,TO Stand pipe with nipple REMOVED,9.4,Yes,,{77D78FC7-E0A0-4F72-8E48-CAE4FF2CC5E6},MCCULLOCH #1/S756,MCCULLOCH #1/S756 - TO Stand pipe with nipple REMOVED
Stand pipe screwed into vent hole with nipple,Stand pipe screwed into vent hole with nipple,9.56,Yes,,{BB3DEFEA-A205-48F4-A60B-557ECA7D0EDC},MCCULLOCH #1/S756,MCCULLOCH #1/S756 - Stand pipe screwed into vent hole with nipple
TO protective casing,TO protective casing,8.92,Yes,1.0,{A1B6AFEF-989A-4219-8B17-FE22FFA25918},MCCULLOCH #1/S756,MCCULLOCH #1/S756 - TO protective casing
TO 4 inch PVC casing,TO 4 inch PVC casing,137.84,Yes,,{E95B2EA9-E963-440F-AF78-4EAEC83E79B9},CYPRESS PARK #1 - FLORIDAN,CYPRESS PARK #1 - FLORIDAN - TO 4 inch PVC casing
Alum angle,Alum angle,14.4,Yes,,{051E505D-A889-4FED-A377-6A0AF394F609},QUINCY CREEK@SR 267,QUINCY CREEK@SR 267 - Alum angle
Ch square on top headwall,Ch square on top headwall,27.14,Yes,,{DFCFD00E-C098-4345-AC6D-B86F281DA6AA},QUINCY CREEK@SR 267,QUINCY CREEK@SR 267 - Ch square on top headwall
Staff,Staff,10.0,Yes,,{3DDA6A04-2F5C-4499-9907-D9BDC5245F30},QUINCY CREEK@SR 267,QUINCY CREEK@SR 267 - Staff
TO hole in 8 inch steel top,TO hole in 8 inch steel top,20.4,Yes,,{47359B8A-C151-4112-BBD4-6FD6DA507C83},WRIGHT ELEMENTARY,WRIGHT ELEMENTARY - TO hole in 8 inch steel top
TO 6 inch steel casing N side,TO 6 inch steel casing N side,15.3,Yes,,{309661AB-7EB2-4DA4-A8C5-EB283895D17E},NWFWMD-TIGER POINT,NWFWMD-TIGER POINT - TO 6 inch steel casing N side
TO PVC casing,TO PVC casing,248.98,Yes,,{171CE0B7-93EC-47C6-9327-6F58F5538701},NWFWMD SR-1S,NWFWMD SR-1S - TO PVC casing
TO hole in middle of plywood cover,TO hole in middle of plywood cover,5.53,Yes,1.0,{740A8A9D-B1F7-4709-A7AE-C24BE332CC60},FANNIN AIRPORT/S675,FANNIN AIRPORT/S675 - TO hole in middle of plywood cover
TO 6 inch PVC casing,TO 6 inch PVC casing,34.29,Yes,,{ABF7AA98-ABA6-48F5-97EC-1485A28BD230},NWFWMD B-2 (UPPER FLD MONITOR),NWFWMD B-2 (UPPER FLD MONITOR) - TO 6 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,14.43,Yes,,{8CB3018B-D80A-48E6-B6AC-16F4297D5826},NWFWMD-NITRATE #3,NWFWMD-NITRATE #3 - TO 4 inch PVC casing
TO vent pipe closest to door,TO vent pipe closest to door,142.59,Yes,,{083018A4-7781-4F8E-AE4B-2BB900D72B7A},CRESTVIEW #6,CRESTVIEW #6 - TO vent pipe closest to door
TO 6 inch steel casing,TO 6 inch steel casing,65.86,Yes,,{DBD39263-A47B-41AD-B2EC-B0022ECB5046},NWFWMD-MUSCOGEE DEEP MPZ,NWFWMD-MUSCOGEE DEEP MPZ - TO 6 inch steel casing
TO 4 inch steel casing,TO 4 inch steel casing,135.65,Yes,,{16953F32-7D9B-40ED-B774-9F0D235EA29C},TOM BROWN TEST/S791,TOM BROWN TEST/S791 - TO 4 inch steel casing
TO sanitary seal,TO sanitary seal,266.01,Yes,,{9DCD2380-7CDA-446E-993D-19EC507CED0B},PREMIER ENTERPRISE #2,PREMIER ENTERPRISE #2 - TO sanitary seal
TO hole in recorder mounting plate,TO hole in recorder mounting plate,93.36,Yes,,{AF97A800-2D7D-4A2D-A93A-2E396D64FA56},NW BAY CTY - SITE #3 IAS MONITOR,NW BAY CTY - SITE #3 IAS MONITOR - TO hole in recorder mounting plate
TO casing below concrete slab,TO casing below concrete slab,118.1,Yes,,{82765A97-5CAA-4FBF-9E5B-E011DC3F1E62},NWFWMD-9 MILE ROAD SZ,NWFWMD-9 MILE ROAD SZ - TO casing below concrete slab
Top of 6 inch threaded adaptor,Top of 6 inch threaded adaptor,89.2,Yes,,{A3C681F3-8944-4726-AF24-9F1E8C87F8C9},EAFB FLD#4 (INT.SYS),EAFB FLD#4 (INT.SYS) - Top of 6 inch threaded adaptor
Ch square,Ch square,22.96,Yes,,{CEC19C2D-435A-43B6-A109-A2AA8E8CD154},MUNSON SLOUGH @ OAKRIDGE ROAD,MUNSON SLOUGH @ OAKRIDGE ROAD - Ch square
FDOT bass survey disk,FDOT bass survey disk,23.0,Yes,,{49F6E168-667E-4C1C-A973-4C85EE8BCFD9},MUNSON SLOUGH @ OAKRIDGE ROAD,MUNSON SLOUGH @ OAKRIDGE ROAD - FDOT bass survey disk
TO sanitary seal,TO sanitary seal,168.81,Yes,,{48273BE3-5FDA-4D50-961A-95642B7AD883},GLADYS WORKMAN,GLADYS WORKMAN - TO sanitary seal
Ch Square top middle of bridge rail,Ch Square top middle of bridge rail,20.0,Yes,,{C453A3E8-175E-49FC-BCCB-92EED4EEFB43},EAST DRAINAGE DITCH AT TEXAS ST - COT,EAST DRAINAGE DITCH AT TEXAS ST - COT - Ch Square top middle of bridge rail
TO PVC casing not the gray flange,TO PVC casing not the gray flange,67.47,Yes,,{A8F4CDD0-B91D-4A6E-A3CB-43F65BB703F0},FSU RESERVATION,FSU RESERVATION - TO PVC casing not the gray flange
TO sanitary seal,TO sanitary seal,187.4,Yes,,{A24C46FE-062B-4FF0-9691-A84852D716DB},IFAS #4,IFAS #4 - TO sanitary seal
TO 2 inch PVC casing,TO 2 inch PVC casing,84.66,Yes,,{72AE2C87-124D-4592-A193-6EE20378A7F6},NWFWMD-BLOUNTSTOWN INTERMEDIATE,NWFWMD-BLOUNTSTOWN INTERMEDIATE - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,47.11,Yes,,{523F0A5F-7728-468A-8E4F-418524D37798},NWFWMD-BRADFORD BROOK DEEP/S793,NWFWMD-BRADFORD BROOK DEEP/S793 - TO 4 inch PVC casing
TO casing below concrete slab,TO casing below concrete slab,118.46,Yes,,{7CD2F13A-6D9A-45FF-9C26-53B955FE4959},NWFWMD-9 MILE ROAD INT,NWFWMD-9 MILE ROAD INT - TO casing below concrete slab
TO 2 inch PVC casing,TO 2 inch PVC casing,19.89,Yes,1.0,{7898F5CC-B3EB-403E-86B3-AD2DDE90B43D},NWFWMD-PORT ST JOE SURFICIAL,NWFWMD-PORT ST JOE SURFICIAL - TO 2 inch PVC casing
TO well plug,TO well plug,14.8,Yes,,{92368CCF-8974-425E-B493-C0C90E9E2383},NWFWMD-NITRATE #4/S782,NWFWMD-NITRATE #4/S782 - TO well plug
TO sanitary seal,TO sanitary seal,136.28,Yes,,{DB6670B4-3468-4438-B408-F0FC8BB36E78},C. HOUSEHOLDER,C. HOUSEHOLDER - TO sanitary seal
TO 2 inch PVC casing,TO 2 inch PVC casing,24.47,Yes,,{251EC33C-36D1-4AE0-83EB-9BFF62365804},NWFWMD-TRACTOR RD. (C-2) THS-2,NWFWMD-TRACTOR RD. (C-2) THS-2 - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,26.58,Yes,,{006F6A46-3DFE-41C5-B63B-72EEB60189A7},FGS - SULLIVAN SINK #1,FGS - SULLIVAN SINK #1 - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,60.82,Yes,,{F7B24B9A-2F2D-41C1-B184-51C8CB8CB08F},NWFWMD GW-4F-LZ (HWY27 DOT)/S812,NWFWMD GW-4F-LZ (HWY27 DOT)/S812 - TO 2 inch PVC casing
TO 2x4,TO 2x4,265.92,Yes,,{A3217926-A5C5-4094-A9D6-A3B1366EF52B},RICHARDS SURFICIAL,RICHARDS SURFICIAL - TO 2x4
TO 2 inch PVC casing,TO 2 inch PVC casing,223.75,Yes,,{A1E28460-6C8E-468B-B670-B2242F3826FC},NWFWMD-ESTO INTERMEDIATE,NWFWMD-ESTO INTERMEDIATE - TO 2 inch PVC casing
Top of sanitary seal,Top of sanitary seal,216.18,Yes,,{1C0F2162-CC58-4E69-B877-78409F92C339},EAFB SITE C-62,EAFB SITE C-62 - Top of sanitary seal
TO 2 inch PVC casing,TO 2 inch PVC casing,18.3,Yes,,{AAA0C42F-7038-45F4-A4FD-493605FBECB5},NWFWMD-EASTPOINT #3 SHALLOW MW,NWFWMD-EASTPOINT #3 SHALLOW MW - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,109.73,Yes,1.0,{0FE5292F-8289-4ACE-81CE-8DD4026BA903},NWFWMD-OTTER CAMP FLORIDAN-SZ/S824,NWFWMD-OTTER CAMP FLORIDAN-SZ/S824 - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,113.4,Yes,,{306A06FF-7145-4F6A-A5CD-40922885C86E},NWFWMD GW-7S (LEON CR-59),NWFWMD GW-7S (LEON CR-59) - TO 2 inch PVC casing
TO sanitary seal,TO sanitary seal,58.25,Yes,1.0,{A0E52A94-D71D-44FD-A78E-EBA166E097E3},ESTIFFANULGA WORK CENTER,ESTIFFANULGA WORK CENTER - TO sanitary seal
Staff inside of East culvert,Staff inside of East culvert,1.91,Yes,,{62C019AE-2E37-4E27-BEE8-A66E06BE5B57},WEST DRAINAGE DITCH @ US 90,WEST DRAINAGE DITCH @ US 90 - Staff inside of East culvert
TO 4 inch threaded PVC casing,TO 4 inch threaded PVC casing,18.95,Yes,1.0,{6AB8F2B9-7957-4689-A33A-3D715F66102A},NWFWMD-GREEN POINT FLORIDAN,NWFWMD-GREEN POINT FLORIDAN - TO 4 inch threaded PVC casing
TO sanitary seal,TO sanitary seal,102.02,Yes,,{8F00DC02-38DD-45D5-AB1E-7D483F438CEE},MOODY TOWER,MOODY TOWER - TO sanitary seal
TO 6 inch steel casing,TO 6 inch steel casing,124.14,Yes,,{4E935F99-5B28-480C-A3EA-A9730B1DA9AD},USGS-LAKE JACKSON INTERMEDIATE/S706,USGS-LAKE JACKSON INTERMEDIATE/S706 - TO 6 inch steel casing
TO 2 inch threaded PVC casing,TO 2 inch threaded PVC casing,19.24,Yes,1.0,{9FA09A22-4E53-4434-A15C-359C16C795DB},NWFWMD-GREEN POINT INTERMEDIATE,NWFWMD-GREEN POINT INTERMEDIATE - TO 2 inch threaded PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,110.03,Yes,,{0C46EF58-E494-4CF9-AFE6-0882B26F1991},NWFWMD-OTTER CAMP FLORIDAN-LZ/S825,NWFWMD-OTTER CAMP FLORIDAN-LZ/S825 - TO 4 inch PVC casing
TO of yellow cap,TO of yellow cap,110.21,Yes,,{94EC89CF-7220-4FFA-BFCE-F5290A1140BB},NWFWMD-OTTER CAMP FLORIDAN-LZ/S825,NWFWMD-OTTER CAMP FLORIDAN-LZ/S825 - TO of yellow cap
TO 4 inch casing,TO 4 inch casing,40.51,Yes,,{161B7025-EE02-413B-A1DE-A9D4F1E68FA8},USGS #150-LAKE BRADFORD,USGS #150-LAKE BRADFORD - TO 4 inch casing
TO metal casing at well,TO metal casing at well,15.37,Yes,,{B3FA8888-7F08-4364-9163-2D23ED00AFF1},USFS-HICKORY LANDING,USFS-HICKORY LANDING - TO metal casing at well
TO 3 inch steel casing,TO 3 inch steel casing,125.23,Yes,,{714DF4DF-87CF-47F5-8612-32A12F18A366},NWFWMD-WEDGEWOOD SZ,NWFWMD-WEDGEWOOD SZ - TO 3 inch steel casing
TO 1 inch galv pipe after elbows removed,TO 1 inch galv pipe after elbows removed,186.07,Yes,,{0C71361F-7A48-428B-A282-CD3F4509C0EC},EAFB DF-WR-27R,EAFB DF-WR-27R - TO 1 inch galv pipe after elbows removed
1 inch bolt hole on side of pump,1 inch bolt hole on side of pump,107.0,Yes,,{121F9084-DBEC-4D4D-AB8A-E3D79DEF3502},TALL TIMBERS,TALL TIMBERS - 1 inch bolt hole on side of pump
TO 4 inch PVC casing,TO 4 inch PVC casing,12.63,Yes,,{B79637D6-FFCC-4E4F-9FAD-2D967ECC5CF8},NWFWMD - White City IAS-M2,NWFWMD - White City IAS-M2 - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,102.95,Yes,,{D26200B6-76BD-441F-9330-D905C16EDEB2},DUREN,DUREN - TO sanitary seal
Hole in top of pipe on north side of pump base,Hole in top of pipe on north side of pump base,129.65,Yes,,{A94B853B-DDE6-4597-AB70-5A9EB9489C4B},BONIFAY #2,BONIFAY #2 - Hole in top of pipe on north side of pump base
Chiseled Square,Chiseled Square,100.0,Yes,,{10548188-A607-407C-8D14-9562FC761526},test 8557,test 8557 - Chiseled Square
Staff,Staff,200.0,Yes,,{85F10DFC-5A25-4E9F-B200-F34FE6DFBC40},test 8557,test 8557 - Staff
TO of Sanitary Seal,TO of Sanitary Seal,200.0,Yes,,{4136DA0D-BB4E-43B8-9384-5DC95E9E0BF4},test 8557,test 8557 - TO of Sanitary Seal
Hole in TO of 8 inch casing,Hole in TO of 8 inch casing,45.38,Yes,,{91261957-65C6-494D-B5A4-C9A7A578AC94},EXXON SUPPLY,EXXON SUPPLY - Hole in TO of 8 inch casing
TO 1 inch vent pipe,TO 1 inch vent pipe,136.28,Yes,,{55EBF550-15CE-49DF-8B0B-37D0A23407CA},EAFB FLD#6 WR-55R,EAFB FLD#6 WR-55R - TO 1 inch vent pipe
Staff,Staff,0.0,Yes,,{29378CDB-6BE6-43A3-AF95-F1FCF749E092},BEAR CREEK @ US 231,BEAR CREEK @ US 231 - Staff
TO 4 inch PVC casing,TO 4 inch PVC casing,84.75,Yes,,{0F924D15-A3B2-4E40-B8ED-5A491B611776},NWFWMD-BLOUNTSTOWN FLORIDAN,NWFWMD-BLOUNTSTOWN FLORIDAN - TO 4 inch PVC casing
TO PVC casing,TO PVC casing,25.9,Yes,,{7784D54B-8E2F-461C-8F67-82409280FA45},NWFWMD-QUINTETTE SZ,NWFWMD-QUINTETTE SZ - TO PVC casing
Low Water 1.25 inch Pipe,Low Water 1.25 inch Pipe,38.98,Yes,,{F8ECF5A6-FFCB-4F86-ACB9-A4C686666948},WEST DRAINAGE DITCH @ ROBERTS AVE,WEST DRAINAGE DITCH @ ROBERTS AVE - Low Water 1.25 inch Pipe
Staff,Staff,37.36,Yes,1.0,{03377DDF-E874-4D2D-B943-A2CF768001CA},WEST DRAINAGE DITCH @ ROBERTS AVE,WEST DRAINAGE DITCH @ ROBERTS AVE - Staff
TO sanitary seal,TO sanitary seal,49.75,Yes,,{6ACA5D91-9BBC-45F7-8D67-252325A93FEF},FREEPORT PORTLAND TEST,FREEPORT PORTLAND TEST - TO sanitary seal
TO sanitary seal,TO sanitary seal,210.0,Yes,,{D79BC90E-59A2-4FED-8C6B-891C78BAC4F2},AL LAWSON,AL LAWSON - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,169.61,Yes,,{FE7850CC-D706-4980-8B05-2D30794F71E0},NWFWMD GW-2S (FT BRADEN)/S805,NWFWMD GW-2S (FT BRADEN)/S805 - TO 4 inch PVC casing
TO PVC casing,TO PVC casing,292.74,Yes,,{F809902C-2147-4151-9D71-2BB2763A9CFE},NWFWMD SR-3D,NWFWMD SR-3D - TO PVC casing
TO PVC casing,TO PVC casing,188.87,Yes,,{FACDEE1C-8CF4-40D9-B5D5-7E1590085853},RU MONITOR/CEDAR STREET/S672,RU MONITOR/CEDAR STREET/S672 - TO PVC casing
Top of lock rim,Top of lock rim,145.98,Yes,,{C14299DF-AE77-4A6A-A0A4-79F1209E4E3D},NWFWMD-HWY 71 NORTH OF MALONE,NWFWMD-HWY 71 NORTH OF MALONE - Top of lock rim
TO PVC casing,TO PVC casing,25.95,Yes,,{37EDAA54-A5F1-4DBB-A0CF-5C8D9B781F52},NWFWMD-QUINTETTE MPZ,NWFWMD-QUINTETTE MPZ - TO PVC casing
TO PVC casing- North side,TO PVC casing- North side,224.98,Yes,,{2DDF9F0A-F9EE-4CBB-A458-5120C8086502},MONTICELLO DOF #J2 - FAS SHALLOW,MONTICELLO DOF #J2 - FAS SHALLOW - TO PVC casing- North side
TO hole in recorder mounting plate,TO hole in recorder mounting plate,93.81,Yes,,{D7B48C67-9590-45D8-98A8-1D2262C6A2AF},NW BAY CTY - SITE #3 SAS MONITOR,NW BAY CTY - SITE #3 SAS MONITOR - TO hole in recorder mounting plate
TO 4 inch PVC casing,TO 4 inch PVC casing,106.65,Yes,,{D3F7D865-BEC8-4252-A831-69CF089CB977},NWFWMD GW-3F-UZ (ANF FR-305),NWFWMD GW-3F-UZ (ANF FR-305) - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,123.74,Yes,,{089557A7-B7CF-4152-9162-8794B1935AF6},JACKSON BLUE #2 - FLORIDAN,JACKSON BLUE #2 - FLORIDAN - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,75.11,Yes,,{0ACA02D8-4C6E-4C6A-BEF9-39434506E2EC},WILLIAMSON / YATES,WILLIAMSON / YATES - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,237.7,Yes,,{B3B36F27-5C85-4AAA-A0EF-3CF00C6E4812},NWFWMD-DOGWOOD PARK MPZ,NWFWMD-DOGWOOD PARK MPZ - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,167.5,Yes,,{D0FF21E0-F8F6-4ADA-A5C4-6E8BC57C5F2A},FGS-TRAPP POND SURFICIAL,FGS-TRAPP POND SURFICIAL - TO 2 inch PVC casing
Hole at the base of the pump motor,Hole at the base of the pump motor,12.77,Yes,,{D9739957-4947-4350-86E4-80DDD9D81333},DWU #5R,DWU #5R - Hole at the base of the pump motor
TO 2 inch PVC casing,TO 2 inch PVC casing,147.53,Yes,,{FD726673-19D2-43E6-A303-0F659396ABF7},FRUS PIEZOMETER #3AR,FRUS PIEZOMETER #3AR - TO 2 inch PVC casing
TO 6 inch steel casing,TO 6 inch steel casing,9.4,Yes,,{A2616C5F-49E7-474D-A021-873F036AB32A},OCWS ISL-1 (MONITOR),OCWS ISL-1 (MONITOR) - TO 6 inch steel casing
Ch Square- top of center culvert,Ch Square- top of center culvert,75.44,Yes,,{98487BA2-E07F-4A20-A803-52DF9AACD34D},NE Drainage Ditch @ Centerville and Blairstone,NE Drainage Ditch @ Centerville and Blairstone - Ch Square- top of center culvert
Chiseled V on West culvert,Chiseled V on West culvert,69.54,Yes,,{04F5B710-299F-4974-ACE6-592591A07551},NE Drainage Ditch @ Centerville and Blairstone,NE Drainage Ditch @ Centerville and Blairstone - Chiseled V on West culvert
TO PVC casing,TO PVC casing,173.96,Yes,,{9ED4B18C-F7E4-4382-802E-DE532A5C1331},NWFWMD SR-5D,NWFWMD SR-5D - TO PVC casing
TO 12 inch steel protective casing,TO 12 inch steel protective casing,55.77,Yes,,{766278DF-7DA1-4216-A44E-D08246E02CD2},NWFWMD A-2 (LWR UFA MONITOR),NWFWMD A-2 (LWR UFA MONITOR) - TO 12 inch steel protective casing
TO 6 inch PVC casing,TO 6 inch PVC casing,55.59,Yes,,{E507AE5D-8CF0-4C3F-8746-05819CCBEB9A},NWFWMD A-2 (LWR UFA MONITOR),NWFWMD A-2 (LWR UFA MONITOR) - TO 6 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,218.94,Yes,,{3DB673D2-3E84-4E53-A56E-9FBA6EB95671},NWFWMD-S&G MW-5D/S656,NWFWMD-S&G MW-5D/S656 - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,271.83,Yes,,{40FEE7E1-DA73-4308-B02B-C9C02856DA94},NWFWMD-SAND HILL UPPER FLORIDAN,NWFWMD-SAND HILL UPPER FLORIDAN - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,115.65,Yes,,{6A7DF1BB-F6FF-4F4B-9687-44B367AD07B7},NWFWMD GW-7F (LEON CR-59)/S818,NWFWMD GW-7F (LEON CR-59)/S818 - TO 4 inch PVC casing
TO locking cap ring,TO locking cap ring,9.96,Yes,,{ECC68ADF-530B-47A7-B60D-052AA0CA4D61},NEWPORT RECREATION/NITRATE POT. MAP,NEWPORT RECREATION/NITRATE POT. MAP - TO locking cap ring
TO sanitary seal,TO sanitary seal,107.84,Yes,,{1DC4086E-D24F-417C-BCDA-3216237F8DD8},FRANCIS RETTIG 4-INCH,FRANCIS RETTIG 4-INCH - TO sanitary seal
Ch Square next to LB,Ch Square next to LB,74.13,Yes,,{9F05AE43-540B-492E-B1FD-1809B3BD63F0},EAST DRAINAGE DITCH AT NANCY DR - COT,EAST DRAINAGE DITCH AT NANCY DR - COT - Ch Square next to LB
Staff,Staff,63.6,Yes,,{829A9FFD-3319-44D4-9D94-DED98C1E1B0B},EAST DRAINAGE DITCH AT NANCY DR - COT,EAST DRAINAGE DITCH AT NANCY DR - COT - Staff
High Water Nail in Tree,High Water Nail in Tree,27.16,Yes,,{BCE50725-DFD2-4AF9-A297-BB83DC481334},ECONFINA CREEK ABOVE GAINER SPRING GROUP,ECONFINA CREEK ABOVE GAINER SPRING GROUP - High Water Nail in Tree
Staff,Staff,10.0,Yes,,{A190FBD9-3FBD-4BD3-8D65-E2D80FC869C8},ECONFINA CREEK ABOVE GAINER SPRING GROUP,ECONFINA CREEK ABOVE GAINER SPRING GROUP - Staff
Top of Staff,Top of Staff,19.7,Yes,,{A80D5045-8269-48C9-A689-00EFAA8D304C},ECONFINA CREEK ABOVE GAINER SPRING GROUP,ECONFINA CREEK ABOVE GAINER SPRING GROUP - Top of Staff
TO sanitary seal,TO sanitary seal,275.86,Yes,,{D44BE376-6188-4FBC-AAF8-0ECDE8C79E53},GREENSBORO #3,GREENSBORO #3 - TO sanitary seal
TO sanitary seal,TO sanitary seal,57.65,Yes,,{7928DE5A-FE99-4651-AE1A-4770141CE7ED},Washington Co - Pine Ridge Dr #2,Washington Co - Pine Ridge Dr #2 - TO sanitary seal
